"player","team","pos","country","season","tier"
"Ian Miller","Doncaster Rovers","MF","Scotland",1976,4
"Dennis Bond","Watford","MF","England",1976,4
"Don Hutchins","Bradford City","MF","England",1976,4
"Alan Curtis","Swansea City","FW","Wales",1976,4
"Brian Joicey","Barnsley","FW","England",1976,4
"Peter Kitchen","Doncaster Rovers","FW","England",1976,4
"Peter Shilton","Nottingham Forest","GK","England",1977,1
"John Gidman","Aston Villa","DF","England",1977,1
"Gordon McQueen","Manchester United","DF","Scotland",1977,1
"Martin Buchan","Manchester United","DF","Scotland",1977,1
"Derek Statham","West Bromwich Albion","DF","England",1977,1
"Steve Coppell","Manchester United","MF","England",1977,1
"Liam Brady","Arsenal","MF","Republic of Ireland",1977,1
"Trevor Brooking","West Ham United","MF","England",1977,1
"Trevor Francis","Birmingham City","FW","England",1977,1
"Joe Jordan","Manchester United","FW","Scotland",1977,1
"John Robertson","Nottingham Forest","FW","Scotland",1977,1
"Barry Daines","Tottenham Hotspur","GK","England",1977,2
"Terry Naylor","Tottenham Hotspur","DF","England",1977,2
"Paul Jones","Bolton Wanderers","DF","England",1977,2
"Paul Futcher","Luton Town","DF","England",1977,2
"Kenny Sansom","Crystal Palace","DF","England",1977,2
"Glenn Hoddle","Tottenham Hotspur","MF","England",1977,2
"Peter Reid","Bolton Wanderers","MF","England",1977,2
"Alan Ball","Southampton","MF","England",1977,2
"Peter Ward","Brighton & Hove Albion","FW","England",1977,2
"John Duncan","Tottenham Hotspur","FW","Scotland",1977,2
"Peter Taylor","Tottenham Hotspur","FW","England",1977,2
"Dai Davies","Wrexham","GK","Wales",1977,3
"Brendon Batson","Cambridge United","DF","England",1977,3
"Ian Ross","Peterborough United","DF","Scotland",1977,3
"Chris Turner","Peterborough United","DF","England",1977,3
"Keith Kennedy","Bury","DF","England",1977,3
"Mickey Thomas","Wrexham","MF","Wales",1977,3
"Bobby Shinton","Wrexham","MF","England",1977,3
"David Moss","Swindon Town","MF","England",1977,3
"Alan Buckley","Walsall","FW","England",1977,3
"Dixie McNeil","Wrexham","FW","England",1977,3
"David Kemp","Portsmouth","FW","England",1977,3
"Peter Springett","Barnsley","GK","England",1977,4
"Chris Lawler","Stockport County","DF","England",1977,4
"Sam Ellis","Watford","DF","England",1977,4
"Mick McCarthy","Barnsley","DF","Republic of Ireland",1977,4
"Keith Pritchett","Watford","DF","Scotland",1977,4
"Ian Miller","Doncaster Rovers","MF","Scotland",1977,4
"Roger Joslyn","Watford","MF","England",1977,4
"Robbie James","Swansea City","MF","Wales",1977,4
"Alan Curtis","Swansea City","FW","Wales",1977,4
"Brendan O'Callaghan","Doncaster Rovers","FW","Republic of Ireland",1977,4
"Alan Mayes","Watford","FW","England",1977,4
"Peter Shilton","Nottingham Forest","GK","England",1978,1
"Viv Anderson","Nottingham Forest","DF","England",1978,1
"David O'Leary","Arsenal","DF","Republic of Ireland",1978,1
"Dave Watson","Manchester City","DF","England",1978,1
"Derek Statham","West Bromwich Albion","DF","England",1978,1
"Liam Brady","Arsenal","MF","Republic of Ireland",1978,1
"Tony Currie","Leeds United","MF","England",1978,1
"Osvaldo Ardiles","Tottenham Hotspur","MF","Argentina",1978,1
"Cyrille Regis","West Bromwich Albion","FW","England",1978,1
"Kenny Dalglish","Liverpool","FW","Scotland",1978,1
"Laurie Cunningham","West Bromwich Albion","FW","England",1978,1
"Mark Wallington","Leicester City","GK","England",1978,2
"Kevin Hird","Blackburn Rovers","DF","England",1978,2
"Mark Lawrenson","Brighton & Hove Albion","DF","Republic of Ireland",1978,2
"Mike Doyle","Stoke City","DF","England",1978,2
"Kenny Sansom","Crystal Palace","DF","England",1978,2
"Trevor Brooking","West Ham United","MF","England",1978,2
"Howard Kendall","Stoke City","MF","England",1978,2
"Brian Horton","Brighton & Hove Albion","MF","England",1978,2
"Pop Robson","West Ham United","FW","England",1978,2
"Mike Flanagan","Charlton Athletic","FW","England",1978,2
"Peter Withe","Newcastle United","FW","England",1978,2
"Chris Turner","Sheffield Wednesday","GK","England",1978,3
"John Stirk","Watford","DF","England",1978,3
"Steve Sims","Watford","DF","England",1978,3
"Ian MacDonald","Carlisle United","DF[nb 2]","Scotland",1978,3
"Trevor Storton","Chester City","DF[nb 2]","England",1978,3
"John Breckin","Rotherham United","DF","England",1978,3
"Brian Hornsby","Shrewsbury Town","MF","England",1978,3
"Ray McHale","Swindon Town","MF","England",1978,3
"Ian Callaghan","Swansea City","MF","England",1978,3
"Luther Blissett","Watford","FW","England",1978,3
"Ross Jenkins","Watford","FW","England",1978,3
